context,answer
"Mahatma Gandhi led India’s independence movement using non-violence.","Mahatma Gandhi"
"Water boils at 100 degrees Celsius at sea level.","100 degrees Celsius"
"Albert Einstein developed the theory of relativity in 1905.","Albert Einstein"
"Paris is the capital city of France.","Paris"
"The Great Wall of China was built to protect against invasions.","To protect against invasions"
"The Amazon rainforest is the largest rainforest in the world.","Amazon rainforest"
"Shakespeare wrote the play Romeo and Juliet.","Shakespeare"
"The Pacific Ocean is the largest ocean on Earth.","Pacific Ocean"
"Photosynthesis is the process by which plants make food using sunlight.","Photosynthesis"
"The Taj Mahal was built by Emperor Shah Jahan in memory of his wife.","Shah Jahan"
